CODIBGE;CDIBGE6D;Nome_Mun;Regiao_Turistica
5205471;520547;Chapadão do Céu;Região Turística Chapada das Emas
5205497;520549;Cidade Ocidental;Municípios fora da Região
5205513;520551;Cocalzinho de Goiás;Região Turística do Ouro 
5205521;520552;Colinas do Sul;Região Turística da Chapada dos Veadeiros
5205703;520570;Córrego do Ouro;Municípios fora da Região
5205802;520580;Corumbá de Goiás;Região Turística do Ouro 
5205901;520590;Corumbaíba;Municípios fora da Região
5206206;520620;Cristalina;Região Turística Encantos do Planalto Central
5206305;520630;Cristianópolis;Municípios fora da Região
5206404;520640;Crixás;Municípios fora da Região
5206503;520650;Cromínia;Municípios fora da Região
5206602;520660;Cumari;Municípios fora da Região
5206701;520670;Damianópolis;Região Turística Terra Ronca
5206800;520680;Damolândia;Municípios fora da Região
5206909;520690;Davinópolis;Municípios fora da Região
5207105;520710;Diorama;Municípios fora da Região
5208301;520830;Divinópolis de Goiás;Região Turística Terra Ronca
5207253;520725;Doverlândia;Região Turística Chapada das Emas
5207352;520735;Edealina;Municípios fora da Região
5207402;520740;Edéia;Municípios fora da Região
5207501;520750;Estrela do Norte;Municípios fora da Região
5207535;520753;Faina;Municípios fora da Região
5207600;520760;Fazenda Nova;Municípios fora da Região
5207808;520780;Firminópolis;Municípios fora da Região
5207907;520790;Flores de Goiás;Região Turística Terra Ronca
5208004;520800;Formosa;Região Turística Encantos do Planalto Central
5208103;520810;Formoso;Municípios fora da Região
5208152;520815;Gameleira de Goiás;Municípios fora da Região
5208400;520840;Goianápolis;Municípios fora da Região
5208509;520850;Goiandira;Região Turística da Estrada de Ferro
5208608;520860;Goianésia;Região Turística do Ouro 
5208707;520870;Goiânia;Região Turística dos Negócios e Tradições
5208806;520880;Goianira;Municípios fora da Região
5208905;520890;Goiás;Região Turística do Ouro 
5209101;520910;Goiatuba;Municípios fora da Região
5209150;520915;Gouvelândia;Municípios fora da Região
5209200;520920;Guapó;Municípios fora da Região
5209291;520929;Guaraíta;Municípios fora da Região
5209408;520940;Guarani de Goiás;Região Turística Terra Ronca
5209457;520945;Guarinos;Municípios fora da Região
5209606;520960;Heitoraí;Municípios fora da Região
5209705;520970;Hidrolândia;Região Turística dos Negócios e Tradições
5209804;520980;Hidrolina;Municípios fora da Região
5209903;520990;Iaciara;Municípios fora da Região
5209937;520993;Inaciolândia;Municípios fora da Região
5209952;520995;Indiara;Municípios fora da Região
5210000;521000;Inhumas;Municípios fora da Região
5210109;521010;Ipameri;Região Turística da Estrada de Ferro
5210158;521015;Ipiranga de Goiás;Municípios fora da Região
5210208;521020;Iporá;Municípios fora da Região
5210307;521030;Israelândia;Municípios fora da Região
5210406;521040;Itaberaí;Municípios fora da Região
